code;city;school_name;type;nature;specialization;num_vacant;num_potential;address;latitude;longitude;school_type
168856;Toulouse;Ecole Elementaire Publique Jules GeraudSaliege (0312892a);E;Compensationdécharge dedirecteur;Sans spécialité;0;1;3 rue Lise MEITNER 31200 TOULOUSE, 31200 Toulouse;43.65322561521429;1.4345211762942287;Ecole
1278;Toulouse;Ecole Primaire Genevieve De Gaulle Anthonioz(0312921g);E;Compensationdécharge dedirecteur;Sans spécialité;0;1;7 rue Marie de Gournay 31300 TOULOUSE, 31300 Toulouse;43.600507097619634;1.4061176505136046;Ecole
141944;Toulouse;Ecole Elementaire Publique Jean Zay(0312922h);E;Compensationdécharge dedirecteur;Sans spécialité;0;1;23 rue Durand 31200 TOULOUSE, 31200 Toulouse;43.64381223620703;1.447282579035743;Ecole
188359;Toulouse;Ecole Elementaire Publique Borderouge(0312942e);E;Compensationdécharge dedirecteur;Sans spécialité;1;0;6 rue Antoine Pastre 31000 TOULOUSE, 31000 Toulouse;43.641378729924384;1.4546723209860122;Ecole
168857;Toulouse;Ecole Primaire Georges Mailhos (0312975r);E;Compensationdécharge dedirecteur;Sans spécialité;0;1;Quartier malepère 31400 TOULOUSE, 31400 Toulouse;43.56287570701777;1.504629229891012;Ecole
141941;Toulouse;Ecole Primaire Josephine Baker (0312977t);E;Compensationdécharge dedirecteur;Sans spécialité;0;1;17 chemin Dortis 31200 TOULOUSE, 31200 Toulouse;43.6669884007469;1.4354197491489133;Ecole
175101;Toulouse;Ecole Primaire Canto Laouzetto (0313018m);E;Compensationdécharge dedirecteur;Sans spécialité;0;1;111 chemin de Canto Laouzeto 31100 TOULOUSE, 31100 Toulouse;43.55987045373459;1.3881909166897084;Ecole
2554;Toulouse;Ecole Elementaire Application Ricardie 3(0310160f);E;Enseignant classeélémentaire;Sans spécialité;0;7;54 avenue de l'URSS 31400 TOULOUSE, 31400 Toulouse;43.58128091546669;1.4498370497215034;Ecole
1604;Toulouse;Ecole Primaire Publique Calas - Dupont(0310161g);E;Enseignant classeélémentaire;Sans spécialité;1;5;101 grande rue Saint-Michel 31400 TOULOUSE, 31400 Toulouse;43.589142807932035;1.4455005646511274;Ecole
2555;Toulouse;Ecole Primaire Application Benezet (0310162h) E;E;Enseignant classeélémentaire;Sans spécialité;0;1;37 rue Bénézet 31300 TOULOUSE, 31300 Toulouse;43.588239444342975;1.4287502112161503;Ecole
1605;Toulouse;Ecole Primaire Falguiere (0310916c);E;Enseignant classeélémentaire;Sans spécialité;0;7;2 rue d'Artagnan 31000 TOULOUSE, 31000 Toulouse;43.60744514784374;1.430000212518502;Ecole
1606;Toulouse;Ecole Elementaire Publique Claude Nougaro(0310917d);E;Enseignant classeélémentaire;Sans spécialité;0;7;59 rue du Général Bourbaki 31200 TOULOUSE, 31200 Toulouse;43.620372143705424;1.434249679643655;Ecole
1607;Toulouse;Ecole Elementaire Publique Lalande (0310921h) E;E;Enseignant classeélémentaire;Sans spécialité;3;14;239 avenue de Fronton 31200 TOULOUSE, 31200 Toulouse;43.64784089450695;1.4320097541085763;Ecole
1608;Toulouse;Ecole Elementaire Publique Jean Chaubet(0310928r);E;Enseignant classeélémentaire;Sans spécialité;0;6;112 avenue Camille Pujol 31500 TOULOUSE, 31500 Toulouse;43.60052500996814;1.467659476342685;Ecole
1609;Toulouse;Ecole Elementaire Publique Bonhoure(0310929s);E;Enseignant classeélémentaire;Sans spécialité;0;3;20 bis place Pinel 31500 TOULOUSE, 31500 Toulouse;43.60254602492596;1.4662395610881223;Ecole
1610;Toulouse;Ecole Elementaire Publique Marengo-Periole(0310934x);E;Enseignant classeélémentaire;Sans spécialité;2;4;98 rue de Périole 31500 TOULOUSE, 31500 Toulouse;43.61756060528841;1.4605103902723255;Ecole
1611;Toulouse;Ecole Primaire Sermet (0310950p);E;Enseignant classeélémentaire;Sans spécialité;0;3;71 rue du Taur 31000 TOULOUSE, 31000 Toulouse;43.607123791921296;1.4418106119963854;Ecole
1612;Toulouse;Ecole Elementaire Publique Nord (0310952s);E;Enseignant classeélémentaire;Sans spécialité;0;1;13 boulevard d'Arcole 31000 TOULOUSE, 31000 Toulouse;43.61086096474927;1.441099725269297;Ecole
1613;Toulouse;Ecole Elementaire Publique Leo Lagrange(0310960a);E;Enseignant classeélémentaire;Sans spécialité;2;6;39 allée Henri Sellier 31400 TOULOUSE, 31400 Toulouse;43.5768676810672;1.438529751290051;Ecole
1614;Toulouse;Ecole Elementaire Publique Cuvier (0310970l);E;Enseignant classeélémentaire;Sans spécialité;2;10;135 route d'Albi 31200 TOULOUSE, 31200 Toulouse;43.638406865562665;1.4620200995206662;Ecole
1615;Toulouse;Ecole Primaire Publique Grand Selve(0310975s);E;Enseignant classeélémentaire;Sans spécialité;0;7;23 rue Froideterre 31200 TOULOUSE, 31200 Toulouse;43.648922356176655;1.4494345748045336;Ecole
1616;Toulouse;Ecole Elementaire Publique Georges Hyon(0310987e);E;Enseignant classeélémentaire;Sans spécialité;1;3;1 impasse Bachaga Boualam 31100 TOULOUSE, 31100 Toulouse;43.57907804429154;1.410069897880824;Ecole
1617;Toulouse;Ecole Elementaire Publique Ronsard (0310988f) E;E;Enseignant classeélémentaire;Sans spécialité;0;7;7 bis rue Vestrepain 31100 TOULOUSE, 31100 Toulouse;43.58442389638942;1.407199411581614;Ecole
1618;Toulouse;Ecole Elementaire Publique Bonnefoy(0310992k);E;Enseignant classeélémentaire;Sans spécialité;0;6;18 rue Faubourg Bonnefoy 31500 TOULOUSE, 31500 Toulouse;43.61663488915373;1.454510236106314;Ecole
1619;Toulouse;Ecole Elementaire Publique Bayard-Matabiau(0310993l);E;Enseignant classeélémentaire;Sans spécialité;1;5;60 rue Matabiau 31000 TOULOUSE, 31000 Toulouse;43.612017766029496;1.4490498043775477;Ecole
1620;Toulouse;Ecole Elementaire Publique Sauzelong(0311006a);E;Enseignant classeélémentaire;Sans spécialité;0;4;92 avenue Albert Bedouce 31400 TOULOUSE, 31400 Toulouse;43.58054337420966;1.4623995125939244;Ecole
1621;Toulouse;Ecole Primaire Publique Alexandre Fourtanier(0311008c);E;Enseignant classeélémentaire;Sans spécialité;0;3;51 rue du Rempart Saint-Etienne 31000 TOULOUSE, 31000 Toulouse;43.6028327401688;1.4499804506558804;Ecole
1622;Toulouse;Ecole Primaire Armand Leygue (0311010e);E;Enseignant classeélémentaire;Sans spécialité;0;4;11 chemin du coin de La Moure 31500 TOULOUSE, 31500 Toulouse;43.5968093684137;1.4649949024101128;Ecole
1623;Toulouse;Ecole Elementaire Publique Fontaine Bayonne(0311015k);E;Enseignant classeélémentaire;Sans spécialité;0;3;21 rue Albus 31300 TOULOUSE, 31300 Toulouse;43.60074520144751;1.4164303200900012;Ecole
1624;Toulouse;Ecole Elementaire Publique Marcel Pagnol(0311016l);E;Enseignant classeélémentaire;Sans spécialité;0;5;7 rue Ernest Dufer 31300 TOULOUSE, 31300 Toulouse;43.5967959065167;1.401169791648437;Ecole
1625;Toulouse;Ecole Elementaire Publique Lespinasse(0311021s);E;Enseignant classeélémentaire;Sans spécialité;0;6;3 rue du Chairedon 31300 TOULOUSE, 31300 Toulouse;43.59739404460308;1.4346401803799333;Ecole
1626;Toulouse;Ecole Primaire Publique Les Oustalous(0311024v);E;Enseignant classeélémentaire;Sans spécialité;0;4;65 route d'Espagne 31100 TOULOUSE, 31100 Toulouse;43.574761055890356;1.4242694616074525;Ecole
2556;Toulouse;Ecole Elementaire Application Maurice Becanne(0311025w);E;Enseignant classeélémentaire;Sans spécialité;0;2;85 avenue de Muret 31300 TOULOUSE, 31300 Toulouse;43.582963080073455;1.4259495190795535;Ecole
1627;Toulouse;Ecole Elementaire Publique Lapujade(0311089r);E;Enseignant classeélémentaire;Sans spécialité;0;12;26 route d'Albi 31200 TOULOUSE, 31200 Toulouse;43.62836973597338;1.460880588911495;Ecole
1628;Toulouse;Ecole Elementaire Publique Paul Dottin(0311305a);E;Enseignant classeélémentaire;Sans spécialité;0;13;10 rue du Recteur Dottin 31100 TOULOUSE, 31100 Toulouse;43.56058921643322;1.3996696177473373;Ecole
1629;Toulouse;Ecole Elementaire Publique Monge (0311569m) E;E;Enseignant classeélémentaire;Sans spécialité;0;4;12 rue Soult 31500 TOULOUSE, 31500 Toulouse;43.60896001218364;1.4579198247109437;Ecole
1630;Toulouse;Ecole Elementaire Publique Les Gais Pinsons(0311601x);E;Enseignant classeélémentaire;Sans spécialité;0;6;6 rue des Gais Pinsons 31300 TOULOUSE, 31300 Toulouse;43.603718322147174;1.4091406113612275;Ecole
