Rang,Numéro du poste,Commune,Etablissement,Type de poste,Nature de support,Spécialité / Nb classes,Nb de postes vacants,Nb de postes susceptibles d'être vacants
191,1025,Toulouse,Ecole Maternelle Publique Patte D'oie(0310241u),E,Enseignant classepréélémentaire,Sans spécialité,0,6
192,1026,Toulouse,Ecole Maternelle Publique Paul Bert (0310242v) E,E,Enseignant classepréélémentaire,Sans spécialité,0,5
193,1028,Toulouse,Ecole Maternelle Publique Claude Nougaro(0310245y),E,Enseignant classepréélémentaire,Sans spécialité,0,4
194,188271,Toulouse,Ecole Primaire Falguiere (0310916c),E,Enseignant classepréélémentaire,Sans spécialité,0,4
195,1850,Toulouse,Ecole Primaire Sermet (0310950p),E,Enseignant classepréélémentaire,Sans spécialité,0,3
196,175104,Toulouse,Ecole Primaire Publique Grand Selve(0310975s),E,Enseignant classepréélémentaire,Sans spécialité,0,5
197,1851,Toulouse,Ecole Primaire Publique Alexandre Fourtanier(0311008c),E,Enseignant classepréélémentaire,Sans spécialité,0,3
198,1852,Toulouse,Ecole Primaire Armand Leygue (0311010e),E,Enseignant classepréélémentaire,Sans spécialité,1,3
199,168861,Toulouse,Ecole Primaire Publique Les Oustalous(0311024v),E,Enseignant classepréélémentaire,Sans spécialité,0,3
200,1029,Toulouse,Ecole Maternelle Publique Sylvain Dauriac(0311123c),E,Enseignant classepréélémentaire,Sans spécialité,0,3
201,1030,Toulouse,Ecole Maternelle Publique Les Pinhous(0311124d),E,Enseignant classepréélémentaire,Sans spécialité,0,2
202,1031,Toulouse,Ecole Maternelle Publique Lapujade (0311250r),E,Enseignant classepréélémentaire,Sans spécialité,0,7
203,1032,Toulouse,Ecole Maternelle Publique Chateau D'ancely(0311259a),E,Enseignant classepréélémentaire,Sans spécialité,0,5
204,1033,Toulouse,Ecole Maternelle Publique Georges Bastide(0311301w),E,Enseignant classepréélémentaire,Sans spécialité,0,3
205,1034,Toulouse,Ecole Maternelle Publique Louise Michel(0311304z),E,Enseignant classepréélémentaire,Sans spécialité,0,3
206,1035,Toulouse,Ecole Maternelle Publique Maurice Jacquier(0311395y),E,Enseignant classepréélémentaire,Sans spécialité,0,3
207,1037,Toulouse,Ecole Maternelle Publique Camille Claudel(0311550s),E,Enseignant classepréélémentaire,Sans spécialité,0,4
208,1039,Toulouse,Ecole Maternelle Publique Victor Hugo(0311613k),E,Enseignant classepréélémentaire,Sans spécialité,1,6
209,1040,Toulouse,Ecole Maternelle Publique Daniel Faucher(0311616n),E,Enseignant classepréélémentaire,Sans spécialité,0,5
210,1041,Toulouse,Ecole Maternelle Publique Jean Galia(0311622v),E,Enseignant classepréélémentaire,Sans spécialité,0,2
211,1042,Toulouse,Ecole Maternelle Publique Simone Veil(0311661m),E,Enseignant classepréélémentaire,Sans spécialité,0,3
212,1043,Toulouse,Ecole Maternelle Publique Didier Daurat(0311662n),E,Enseignant classepréélémentaire,Sans spécialité,0,3
213,1044,Toulouse,Ecole Maternelle Publique Tabar (0311695z),E,Enseignant classepréélémentaire,Sans spécialité,0,3
214,1045,Toulouse,Ecole Maternelle Publique Pech-David(0311697b),E,Enseignant classepréélémentaire,Sans spécialité,0,3
215,1046,Toulouse,Ecole Maternelle Publique Ronsard (0311742a),E,Enseignant classepréélémentaire,Sans spécialité,0,4
216,1047,Toulouse,Ecole Maternelle Publique La Gloire (0311743b) E,E,Enseignant classepréélémentaire,Sans spécialité,0,2
217,1048,Toulouse,Ecole Maternelle Publique La Terrasse(0311744c),E,Enseignant classepréélémentaire,Sans spécialité,0,1
218,188300,Toulouse,Ecole Primaire Publique Ada Lovelace(0311782u),E,Enseignant classepréélémentaire,Sans spécialité,2,0
